"rowNo","condition1","condition2","condition3","trialNo","target","key","ITI","presTime","stimFormat","random","randomBlock","keyboard","subjectGroup","responseWindow","ITI_ms","ITI_f","ITI_fDuration","presTime_fDuration","timestamp","response","RT","correct","browser","version","screenWidth","screenHeight","OS","OS_lang","GMT_timestamp","local_timestamp","link","id","age","sex","education","handedness","completionCode"
"986","ordinary","scenario5","fast","674","<b>On your way you ought to </b><br> <br>  mentally recite your agenda items.","f","600","1500","word","1","1 2","f j","6","1550","600","36","16.67","NaN","101376","timeout","1543","0","Chrome","88.0.4324.182","1536","864","Windows","en-US","2021-02-17_22:42:58","2021-02-17_17:42:58","https://www.testable.org/experiment/31/222638/start?hitId=3VW0145YM1I1CZ1BWE5T2OAQMG4JMU&workerId=A2E0LU8V4EUX5C&assignmentId=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&a=KAAG2&tp_a=KAAG2&b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&tp_b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&c=276272&tp_c=276272","participant5","28","male","Bachelor degree","left-handed","w4JInfp8g1wFAHF9"
"994","flouting","scenario5","fast","682","<b>On your way you ought to </b><br> <br>  climb into bed and take a nap.","f","600","1500","word","1","1 2","f j","6","1550","600","36","16.67","NaN","103526","timeout","1548","0","Chrome","88.0.4324.182","1536","864","Windows","en-US","2021-02-17_22:42:58","2021-02-17_17:42:58","https://www.testable.org/experiment/31/222638/start?hitId=3VW0145YM1I1CZ1BWE5T2OAQMG4JMU&workerId=A2E0LU8V4EUX5C&assignmentId=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&a=KAAG2&tp_a=KAAG2&b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&tp_b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&c=276272&tp_c=276272","participant5","28","male","Bachelor degree","left-handed","w4JInfp8g1wFAHF9"
"987","ordinary","scenario5","fast","675","<b>On your way you ought to </b><br> <br>  stop your car at the traffic light.","f","600","1500","word","1","1 2","f j","6","1550","600","36","16.67","NaN","105459","j","1323","0","Chrome","88.0.4324.182","1536","864","Windows","en-US","2021-02-17_22:42:58","2021-02-17_17:42:58","https://www.testable.org/experiment/31/222638/start?hitId=3VW0145YM1I1CZ1BWE5T2OAQMG4JMU&workerId=A2E0LU8V4EUX5C&assignmentId=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&a=KAAG2&tp_a=KAAG2&b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&tp_b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&c=276272&tp_c=276272","participant5","28","male","Bachelor degree","left-handed","w4JInfp8g1wFAHF9"
"999","immoral","scenario5","fast","687","<b>On your way you ought to </b><br> <br>  park in the middle of the highway.","f","600","1500","word","1","1 2","f j","6","1550","600","36","16.67","NaN","107254","j","1202","0","Chrome","88.0.4324.182","1536","864","Windows","en-US","2021-02-17_22:42:58","2021-02-17_17:42:58","https://www.testable.org/experiment/31/222638/start?hitId=3VW0145YM1I1CZ1BWE5T2OAQMG4JMU&workerId=A2E0LU8V4EUX5C&assignmentId=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&a=KAAG2&tp_a=KAAG2&b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&tp_b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&c=276272&tp_c=276272","participant5","28","male","Bachelor degree","left-handed","w4JInfp8g1wFAHF9"
"995","flouting","scenario5","fast","683","<b>On your way you ought to </b><br> <br>  watch a movie at a theater.","f","600","1500","word","1","1 2","f j","6","1550","600","36","16.67","NaN","108851","j","1004","0","Chrome","88.0.4324.182","1536","864","Windows","en-US","2021-02-17_22:42:58","2021-02-17_17:42:58","https://www.testable.org/experiment/31/222638/start?hitId=3VW0145YM1I1CZ1BWE5T2OAQMG4JMU&workerId=A2E0LU8V4EUX5C&assignmentId=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&a=KAAG2&tp_a=KAAG2&b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&tp_b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&c=276272&tp_c=276272","participant5","28","male","Bachelor degree","left-handed","w4JInfp8g1wFAHF9"
"984","ordinary","scenario5","fast","672","<b>On your way you ought to </b><br> <br>  brainstorm suggestions for the group.","f","600","1500","word","1","1 2","f j","6","1550","600","36","16.67","NaN","110368","f","918","1","Chrome","88.0.4324.182","1536","864","Windows","en-US","2021-02-17_22:42:58","2021-02-17_17:42:58","https://www.testable.org/experiment/31/222638/start?hitId=3VW0145YM1I1CZ1BWE5T2OAQMG4JMU&workerId=A2E0LU8V4EUX5C&assignmentId=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&a=KAAG2&tp_a=KAAG2&b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&tp_b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&c=276272&tp_c=276272","participant5","28","male","Bachelor degree","left-handed","w4JInfp8g1wFAHF9"
"991","impossible","scenario5","fast","679","<b>On your way you ought to </b><br> <br>  jump over the Great Wall of China.","j","600","1500","word","1","1 2","f j","6","1550","600","36","16.67","NaN","111940","j","978","1","Chrome","88.0.4324.182","1536","864","Windows","en-US","2021-02-17_22:42:58","2021-02-17_17:42:58","https://www.testable.org/experiment/31/222638/start?hitId=3VW0145YM1I1CZ1BWE5T2OAQMG4JMU&workerId=A2E0LU8V4EUX5C&assignmentId=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&a=KAAG2&tp_a=KAAG2&b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&tp_b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&c=276272&tp_c=276272","participant5","28","male","Bachelor degree","left-handed","w4JInfp8g1wFAHF9"
"997","immoral","scenario5","fast","685","<b>On your way you ought to </b><br> <br>  steer your car into a small dog.","f","600","1500","word","1","1 2","f j","6","1550","600","36","16.67","NaN","113755","j","1221","0","Chrome","88.0.4324.182","1536","864","Windows","en-US","2021-02-17_22:42:58","2021-02-17_17:42:58","https://www.testable.org/experiment/31/222638/start?hitId=3VW0145YM1I1CZ1BWE5T2OAQMG4JMU&workerId=A2E0LU8V4EUX5C&assignmentId=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&a=KAAG2&tp_a=KAAG2&b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&tp_b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&c=276272&tp_c=276272","participant5","28","male","Bachelor degree","left-handed","w4JInfp8g1wFAHF9"
"996","immoral","scenario5","fast","684","<b>On your way you ought to </b><br> <br>  hit a pedestrian with your car.","f","600","1500","word","1","1 2","f j","6","1550","600","36","16.67","NaN","115227","j","881","0","Chrome","88.0.4324.182","1536","864","Windows","en-US","2021-02-17_22:42:58","2021-02-17_17:42:58","https://www.testable.org/experiment/31/222638/start?hitId=3VW0145YM1I1CZ1BWE5T2OAQMG4JMU&workerId=A2E0LU8V4EUX5C&assignmentId=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&a=KAAG2&tp_a=KAAG2&b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&tp_b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&c=276272&tp_c=276272","participant5","28","male","Bachelor degree","left-handed","w4JInfp8g1wFAHF9"
"989","impossible","scenario5","fast","677","<b>On your way you ought to </b><br> <br>  read the minds of people close by.","j","600","1500","word","1","1 2","f j","6","1550","600","36","16.67","NaN","116891","j","1063","1","Chrome","88.0.4324.182","1536","864","Windows","en-US","2021-02-17_22:42:58","2021-02-17_17:42:58","https://www.testable.org/experiment/31/222638/start?hitId=3VW0145YM1I1CZ1BWE5T2OAQMG4JMU&workerId=A2E0LU8V4EUX5C&assignmentId=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&a=KAAG2&tp_a=KAAG2&b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&tp_b=3GA6AFUKOSU7LRW5SY2VIWHT2HI3H7&c=276272&tp_c=276272","participant5","28","male","Bachelor degree","left-handed","w4JInfp8g1wFAHF9"
